HIP,Name_r,Name,Bayer
108085,Альданаб,Aldhanab,γ Gru
108917,Курхах,Kurhah,ξ Cep A
109074,Садалмелик,Sadalmelik,α Aqr A
109268,Альнаир,Alnair,α Gru
109427,Бихам,Biham,θ Peg
109492,Курхах,Kurhah,ζ Cep
110003,Анха,Ancha,θ Aqr
110395,Садахбия,Sadachbia,γ Aqr A
110672,Сеат,Seat,π Aqr
110960,Садалтагер,Sadaltager,ζ Aqr
111497,Гидрия,Gidria,η Aqr
111710,Ситула,Situla,κ Aqr A
112029,Хомам,Homam,ζ Peg A
112122,Тиаки,Tiaki,β Gru
112158,Матар,Matar,η Peg A
112247,Звезда Бэбкока,Babcock Star,GL Lac
112440,Садалбари,Sadalbari,λ Peg
112748,Садалбари,Sadalbari,μ Peg
112961,Гидор,Gidor,λ Aqr
113136,Скат,Skat,δ Aqr A
113357,Гельветиос,Helvetios,51 Peg
113368,Фомальгаут,Fomalhaut,α PsA A
113881,Шеат,Scheat,β Peg
113889,Фумальсамаках,Fumalsamakah,β Psc
113963,Маркаб,Markab,α Peg
115250,Сальма,Salm,τ Peg
115623,Алькараб,Alkarab,υ Peg
116076,Веритате,Veritate,14 And A
116727,Эрраи,Errai,γ Cep A
117863,Алькальб Альраи,Alkalb Alrai,ρ Cep
