HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
98032;188114;;iot;Sgr;Sgr;4,12;;;298,81532954;-41,86841350;17,24;23,37;51,60;1,063;1,09;;;1;;;K0III;4642;;
98036;188512;60;bet;Aql;Aql;3,71;;;298,82819233;+06,40793334;72,95;46,35;-481,32;0,855;0,89;;;1;;;G8IVvar;5098;Alshain;Альшаин
98038;188405;;;;Aql;6,49;;;298,83121009;-06,73463769;11,67;16,21;-58,74;0,391;0,46;;D;2;C;AB;F2V;6830;;
98044;189127;;;;Cyg;6,10;;;298,84184872;+58,25037613;7,06;20,19;-75,18;1,021;0,99;;C;1;;;G9III;4760;;
98055;189037;24;psi;Cyg;Cyg;4,91;;;298,90759282;+52,43902327;11,30;-36,62;-31,02;0,124;0,12;;D;2;C;AB;A4Vn;8128;;
98066;188376;58;ome;Sgr;Sgr;4,70;;;298,95927101;-26,29968718;42,03;203,96;74,40;0,748;0,79;;C;1;G;;G3/G5III;5467;Terebellum;Теребелл
98068;188892;22;;Cyg;Cyg;4,95;;;298,96567172;+38,48670392;2,71;1,46;0,60;-0,086;-,07;;C;1;;;B5IV;;;
98073;189276;;;;Cyg;4,98;1;;298,98078459;+58,84601982;3,55;-9,00;-20,86;1,584;1,56;;M;1;;;K5II-III;3946;;
98085;188727;10;S;Sge;Sge;5,71;3;SSge;299,00526400;+16,63481590;0,76;1,00;-6,89;0,903;0,90;8,38;P;1;;;G5IbvSB;;;
98086;186154;;;;Oct;6,39;;;299,00675249;-81,34983861;4,70;20,03;-0,71;1,402;1,38;;;1;;;K3/K4III;;;
98103;188728;61;phi;Aql;Aql;5,28;;;299,05930285;+11,42370978;15,84;32,40;4,57;0,014;0,03;;C;1;;;A1IV;9162;;
98110;188947;21;eta;Cyg;Cyg;3,89;;;299,07665069;+35,08349079;23,40;-34,00;-27,60;1,019;0,98;;C;1;;;K0IIIvar;4796;;
98111;189296;;;;Cyg;6,16;;;299,07925317;+56,68697532;11,67;29,32;17,06;0,090;0,10;;C;1;;;A4Vn;;;
98143;189066;;;;Cyg;6,03;;;299,18392884;+36,25059928;2,93;1,21;-0,18;-0,140;-,13;;C;1;;;B5IV;;;
98146;189253;;;;Cyg;6,46;;;299,18818099;+50,90249691;9,31;10,01;10,63;0,003;0,02;;C;1;;;A1V;;;
98162;188603;59;b01;Sgr;Sgr;4,54;;;299,23677038;-27,16986250;2,70;9,60;-14,95;1,462;1,39;;;1;;;K3III;4350;Terebellum1;Теребеллум1
98174;188162;;;;Pav;5,24;;;299,27618092;-58,90131541;10,81;23,55;-14,87;0,014;0,03;;;1;;;B9.5IV;9727;;
98194;189178;;;;Cyg;5,46;;;299,30776056;+40,36782505;2,13;7,08;-0,47;-0,090;-,07;;;1;;;B5V;;;
98234;189090;11;;Sge;Sge;5,54;;;299,43932749;+16,78911537;8,06;11,52;19,66;-0,048;-,03;;;1;;;B9III;;;
98253;189377;;;;Cyg;6,44;;;299,48382616;+42,26079538;2,57;-5,25;-10,19;0,095;0,11;;D;2;C;AC;A3V;;;
98258;188899;61;g;Sgr;Sgr;5,01;;;299,48758471;-15,49126255;11,18;17,83;-93,66;0,055;0,05;;C;1;G;;A2V;8770;;
98308;189900;;;;Dra;6,15;;;299,61974056;+63,53420204;7,58;0,77;-27,64;0,035;0,05;;;1;;;A3V;;;
98320;189432;;;;Cyg;6,33;;;299,64314255;+38,10569103;1,85;3,63;0,83;-0,090;-,07;;D;2;C;AB;B5IV;;;
98325;189395;;;;Cyg;5,51;;;299,65816165;+30,98367174;5,99;33,23;-2,60;-0,060;-,04;;;1;;;B9Vn;11042;;
98332;188097;;;;Pav;5,74;;;299,67157464;-69,16371251;14,08;69,18;-100,60;0,224;0,23;;;1;;;Am;7699;;
98333;190252;;;;Dra;6,32;;;299,67409575;+70,36680747;7,74;40,45;58,10;0,868;0,88;;C;1;;;G8III;;;
98337;189319;12;gam;Sge;Sge;3,51;1;;299,68911516;+19,49209287;11,90;64,37;22,58;1,571;1,65;;M;1;;;K5III;3935;;
98346;188164;;;;Pav;6,38;;;299,72052643;-68,76240414;9,56;36,46;-73,83;0,164;0,18;;C;1;;;A2V;7818;;
98351;188981;;;;Sgr;6,27;;;299,73486767;-30,53823810;15,22;86,05;-59,89;1,051;1,02;;C;1;G;;K1III;;;
98353;189005;60;A;Sgr;Sgr;4,84;;;299,73823470;-26,19582739;9,58;34,50;24,74;0,882;0,91;;C;1;;;G8II/III;5131;;
98375;189410;14;;Vul;Vul;5,68;;;299,79409487;+23,10127381;20,66;-70,78;3,07;0,345;0,40;;C;1;X;;F0;7059;;
98379;189775;;;;Cyg;6,14;2;V2100Cyg;299,81390745;+52,05568515;4,24;9,33;2,63;-0,183;-,19;2,61;P;1;;;B5III;;;
98383;189684;;;;Cyg;5,92;;;299,83506255;+45,77258164;6,91;11,54;-16,72;0,185;0,20;;D;2;C;AB;A5III;;;
98385;189322;;;;Aql;6,17;;;299,84430859;+01,37753175;4,24;16,51;67,66;1,129;1,09;;D;1;;;G8III;4525;;
98401;190960;69;;Dra;Dra;6,20;1;;299,90289138;+76,48153707;6,21;-26,86;-59,51;1,610;2,09;;U;1;;;M3III;;;
98412;189103;;the01;Sgr;Sgr;4,37;;;299,93405965;-35,27624433;5,28;6,02;-25,15;-0,150;-,15;;C;1;;;B2.5IV;;Manubrium2;Манубриум2
98416;189340;;;;Aql;5,87;;;299,94787255;-09,95728408;40,75;-246,73;-392,36;0,598;0,67;;D;2;C;AB;F8V;5892;;
98421;189118;;the02;Sgr;Sgr;5,30;;;299,96366659;-34,69763103;20,81;108,71;-69,13;0,170;0,19;;C;1;;;A4/A5IV;;;
98425;189687;25;;Cyg;Cyg;5,15;1;V1746Cyg;299,97997979;+37,04288602;2,07;0,41;-0,24;-0,133;-,12;;M;1;;;B3IV;18408;;
98438;189577;13;;Sge;Sge;5,33;2;VZSge;300,01378061;+17,51654077;4,37;1,73;-12,22;1,576;2,61;;U;1;;;M4IIIa;3844;;
98458;189671;;;;Vul;6,49;;;300,06399327;+26,18790438;2,21;1,42;-7,01;1,132;1,03;;;1;;;G8II;4891;;
98461;189195;;;;Sgr;5,95;;;300,06632739;-37,70171669;10,33;19,54;-1,15;0,989;0,97;;C;1;;;G8/K0III;4887;;
98470;189245;;;;Sgr;5,65;;;300,08399517;-33,70274870;47,90;130,79;-289,30;0,498;0,57;;;1;;;F7V;6344;;
98478;188584;;mu,01;Pav;Pav;5,75;;;300,09627712;-66,94888773;15,09;-3,67;-194,28;1,033;1,03;;C;1;G;;K0IV;;;
98482;189080;;;;Tel;6,18;;;300,10582208;-49,35093932;10,80;-76,61;-2,94;1,056;1,02;;C;1;;;K0III;4720;;
98485;189140;;;;Sgr;6,11;2;;300,11028267;-43,04333151;2,96;22,07;12,32;1,634;1,82;;U;1;;;M0III;;;
98495;188228;;eps;Pav;Pav;3,97;;;300,14747226;-72,91018443;30,73;80,54;-131,34;-0,032;-,04;;;1;;;A0V;10661;;
98512;189198;;;;Sgr;5,80;1;;300,20134846;-45,11293250;9,07;3,39;5,82;0,295;0,35;;M;1;;;A8III;;;
98526;189695;;;;Aql;5,90;1;;300,24571281;+08,55776880;3,63;11,14;-13,96;1,529;1,57;;M;1;;;K5III;;;
98543;189849;15;;Vul;Vul;4,66;;NTVul;300,27504217;+27,75356392;14,67;57,99;3,76;0,184;0,19;;;1;;;A4III;7773;;
98563;189942;;;;Cyg;6,23;;;300,31365859;+37,09887283;3,25;40,81;50,92;1,314;1,28;;;1;;;K0III;;;
98571;190147;26;e;Cyg;Cyg;5,06;;;300,33978531;+50,10467998;7,60;16,31;6,14;1,122;1,14;;;1;;;K1II-III;4655;;
98575;189561;;;;Sgr;6,01;;;300,34933830;-22,73727899;10,42;9,86;-11,60;0,981;0,95;;C;1;;;K0III;5008;;
