HIP;HD;Fl;Bayer;Bayer_cst;Cst;Vmag;VarFlag;VarID;RAdeg;DEdeg;Plx;pmRA;pmDE;B-V;V-I;Period;HvarType;Ncomp;MultFlag;m_HIP;SpType;Teff;Name;Name_r
46880;82734;;;;Hya;5,02;;;143,30196880;-21,11575904;9,76;-20,19;15,09;1,023;0,94;;C;1;;;K0III;4948;;
46891;82523;;;;Leo;6,50;;;143,32632739;+28,36801811;10,85;-42,12;-32,31;0,128;0,14;;;1;;;A3Vnn;8551;;
46893;82674;;;;Hya;6,25;;;143,33309223;-07,19014820;7,75;-62,19;-23,11;1,170;1,14;;C;1;X;;K0;4490;;
46897;82747;;;;Hya;5,92;;;143,35873201;-22,86401784;10,98;-70,04;55,27;0,023;0,04;;C;1;;;B9.5V;9268;;
46904;82522;9;;LMi;LMi;6,19;;;143,37639032;+36,48703015;7,87;40,32;-33,17;1,264;1,22;;;1;;;K4III:;4402;;
46914;82984;;;;Vel;5,12;;;143,43566625;-49,00509320;3,40;-23,39;8,78;-0,114;-,10;;D;2;C;AB;B4IV;;;
46928;83979;;zet;Cha;Cha;5,07;1;zetCha;143,47293825;-80,94129374;6,05;-34,61;14,67;-0,139;-,13;1,08;P;1;;;B5V;;;
46938;82670;;;;Leo;6,26;;;143,49653757;+23,45411990;6,41;-43,63;-82,74;1,453;1,52;;;1;;;K7III;;;
46950;83058;;L;Vel;Vel;5,01;;;143,53667204;-51,25528201;3,50;-8,50;6,39;-0,180;-,19;;C;1;;;B1.5IV;;;
46952;82635;10;;LMi;LMi;4,54;1;SULMi;143,55573740;+36,39761338;18,52;6,82;-22,89;0,914;0,91;;M;1;;;G8III;5077;;
46974;83183;;h;Car;Car;4,08;;;143,61109601;-59,22976797;1,65;-11,23;6,02;-0,013;0,01;;;1;;;B5II;;;
46977;82210;24;d;UMa;UMa;4,54;1;DKUMa;143,62069943;+69,83015419;30,89;-63,90;77,59;0,781;0,83;;U;1;;;G4III-IV;5289;;
46982;82870;33;A;Hya;Hya;5,56;;;143,63600852;-05,91480636;4,79;10,79;-58,30;1,159;1,16;;;1;;;K1III;6085;;
47006;82621;26;;UMa;UMa;4,47;;;143,70622878;+52,05156754;12,21;-65,07;-37,30;0,027;0,08;;;1;;;A2V;8892;;
47013;82189;22;;UMa;UMa;5,77;;;143,72245250;+72,20586410;20,06;72,02;-76,06;0,530;0,60;;;1;;;F7V;6309;;
47029;82741;;;;Lyn;4,81;;;143,76605199;+39,62144313;14,23;-29,64;20,67;0,992;1,00;;C;1;;;K0III;4816;;
47039;83108;;;;Ant;6,48;;;143,79948668;-35,82374500;15,78;-73,99;-2,06;0,417;0,48;;;1;;;F5V;6646;;
47070;83104;;;;Hya;6,33;;;143,89091178;-19,58330800;11,50;-27,84;-35,48;0,069;0,08;;;1;;;A0V;8995;;
47080;82885;11;;LMi;LMi;5,40;;SVLMi;143,91678098;+35,81076694;89,45;-730,05;-260,62;0,770;0,78;;;1;;;G8IV-V;5507;;
47096;83023;7;;Leo;Leo;6,32;;;143,97045380;+14,37959340;6,39;-41,21;-2,22;0,027;0,04;;D;1;;;A1V;9727;;
47119;82327;;;;Dra;6,46;;;144,02829338;+74,31887605;7,30;-15,55;-29,04;-0,083;-,06;;C;1;;;B9V;11741;;
47145;83368;;;;Vel;6,18;1;IMVel;144,10588902;-48,75116061;13,80;-8,01;-7,70;0,277;0,31;2,85;P;2;C;AB;F0p;;;
47168;83069;;;;Leo;5,57;1;;144,17854374;+31,16184064;6,87;2,30;-43,74;1,594;1,80;;U;1;;;M2III;;;
47172;83465;;;;Vel;6,18;;;144,19337925;-52,94390589;8,40;-125,12;96,95;1,051;1,02;;C;1;;;K1III;4837;;
47175;83446;;M;Vel;Vel;4,34;;;144,20690420;-49,35512860;30,35;-130,56;42,29;0,173;0,18;;;1;;;A5V;8035;;
47187;83332;;;;Ant;5,68;;;144,25103185;-25,29684739;11,14;-62,60;36,18;1,116;1,09;;C;1;;;K0III;;;
47189;83189;8;;Leo;Leo;5,73;;;144,26079440;+16,43795912;3,42;-16,99;-3,01;1,223;1,17;;C;1;;;K1III;4450;;
47193;81817;;;;Dra;4,28;;;144,27229969;+81,32642085;3,03;-16,77;-15,95;1,488;1,46;;;1;;;K3III;4030;;
47199;83380;;;;Ant;5,62;;;144,29112334;-32,17861272;12,19;31,48;-13,87;1,023;1,00;;C;1;;;K1III;4840;;
47204;83520;;;;Vel;5,44;;;144,30281740;-53,66848607;13,95;-23,99;-9,13;0,137;0,15;;D;2;C;BA;A2/A3V;;;
47205;83240;10;;Leo;Leo;5,00;;;144,30295211;+06,83577519;14,45;-70,26;11,03;1,051;1,03;;;1;G;;K1IIIvar;4735;;
47224;83441;;;;Ant;5,96;1;;144,36841333;-36,09599061;9,67;-25,61;-1,43;1,118;1,07;;M;1;;;K2III;4710;;
47231;82969;;;;UMa;6,41;;;144,40634808;+60,21376054;10,17;-11,78;-32,35;0,921;0,92;;;1;;;G5;5003;;
47242;83352;;;;Hya;6,45;;;144,44142337;-03,17060829;7,22;-9,96;-13,85;0,986;0,97;;;1;;;K0;;;
47249;83373;34;;Hya;Hya;6,40;;;144,46475673;-09,42446525;8,70;-61,73;7,72;-0,040;-,01;;;1;;;A1V;10181;;
47260;82685;;;;Dra;6,39;;;144,48453548;+73,08044385;14,37;-42,41;-20,33;0,352;0,41;;D;2;C;AB;F2V+...;;;
47267;83548;;y;Vel;Vel;5,51;;;144,50597591;-43,19086905;6,73;24,00;-31,03;0,985;0,92;;;1;G;;G8II;4816;;
47300;83287;42;;Lyn;Lyn;5,28;;;144,59077851;+40,23976693;26,05;-14,37;10,87;0,223;0,25;;;1;;;F0V;7817;;
47310;83425;2;;Sex;Hya;4,68;;;144,61410460;+04,64941422;11,90;-165,45;-49,93;1,310;1,35;;;1;;;K3III;4154;;
47391;83944;;m;Car;Car;4,51;;;144,83767061;-61,32810523;14,57;-34,89;18,60;-0,070;-,06;;;1;;;B9V;11303;;
47401;83126;;;;UMa;5,96;1;;144,86631917;+67,27232436;6,00;-27,75;-38,67;1,528;1,53;;M;1;;;K5;;;
47422;84046;;;;Car;6,40;;;144,93812076;-62,94296853;5,23;-17,74;18,53;-0,084;-,06;;;1;;;B8/B9III/IV;;;
47427;83650;37;;Hya;Hya;6,31;2;OWHya;144,94759513;-10,57028535;2,97;-20,54;6,08;-0,029;0,00;5,76;P;2;C;BA;A0Vn;10852;;
47431;83618;35;iot;Hya;Hya;3,90;;;144,96389156;-01,14265722;11,83;47,81;-62,92;1,313;1,29;;;1;;;K3IIIvar;4266;Ukdah;Укдах
47452;83754;38;kap;Hya;Hya;5,07;1;;145,07657975;-14,33224542;6,33;-26,32;-19,25;-0,149;-,15;;M;1;;;B4IV/V;16150;;
47454;83731;;;;Hya;6,37;;;145,08364165;-10,76918307;3,89;-8,44;-0,66;0,083;0,10;;C;1;;;A2V;8690;;
47479;84121;;;;Car;5,30;;;145,17751102;-57,98357162;14,85;-43,84;7,64;0,195;0,21;;D;2;C;AB;A3IV;7980;;
47498;84152;;;;Car;5,80;;;145,25876248;-57,25944118;9,00;76,24;-41,64;1,083;1,04;;C;1;;;K0/K1III;;;
47508;83808;14;omi;Leo;Leo;3,52;;;145,28799116;+09,89239902;24,12;-143,67;-37,45;0,516;0,59;;;1;;;A5V+...;6173;Subra;Субра
47521;83564;;;;UMa;6,50;;;145,31984556;+55,86657520;7,91;-30,50;-34,63;1,150;1,11;;C;1;;;K1III-IV;;;
47522;83953;;I;Hya;Hya;4,76;1;;145,32094152;-23,59152139;6,56;-29,14;3,02;-0,117;-,10;;U;1;;;B5V;14675;;
47544;83787;;;;Leo;5,90;1;DRLeo;145,39627242;+31,27784047;3,46;15,54;-9,58;1,579;1,76;;U;1;;;K6III;;;
47550;83821;13;;Leo;Leo;6,26;;;145,41040299;+25,91295540;6,03;-18,68;-32,63;1,251;1,21;;C;1;;;K2III:;;;
47559;84228;;;;Vel;5,99;;;145,44974998;-55,21376962;1,21;-12,34;3,26;-0,119;-,10;;;1;;;B4V;;;
47570;83805;43;;Lyn;Lyn;5,61;;;145,50158521;+39,75796859;9,59;-49,55;-48,31;0,951;0,94;;;1;;;G8III;4965;;
47591;84416;;;;Car;6,33;2;V486Car;145,55411422;-66,91481962;5,51;-14,50;-0,26;0,075;0,09;1,09;P;1;;;A0V;;;
47592;84117;;;;Hya;4,93;1;;145,56113137;-23,91620867;67,19;-399,23;263,18;0,534;0,58;;M;1;;;G0V;6160;;
47594;83489;;;;UMa;5,72;;;145,56222108;+69,23770604;6,81;-66,55;-69,40;1,131;1,09;;;1;;;G9III:;;;
47627;84224;;;;Ant;6,39;;;145,67236047;-35,50172774;2,30;-20,07;7,53;-0,053;-,03;;;1;;;Asp...;;;
47631;83951;13;;LMi;LMi;6,12;;;145,67814044;+35,09349974;18,76;-20,00;-53,00;0,386;0,45;;C;1;;;F3V;6838;;
47633;83869;;;;UMa;6,36;;;145,67966736;+48,43105765;7,49;-30,54;-23,75;0,010;0,03;;C;2;C;AB;A1V;9484;;
47654;83506;27;;UMa;UMa;5,15;;;145,73849356;+72,25268512;7,38;-26,71;-27,49;1,029;1,00;;C;1;;;K0III;4710;;
47664;83886;;;;UMa;6,50;;;145,77915610;+54,36378463;10,90;-31,87;-33,61;0,121;0,09;;;1;;;A5m;;;
47694;84400;;;;Vel;6,15;2;IPVel;145,86501179;-51,22815640;2,39;-16,02;8,37;-0,098;-,08;3,44;P;1;;;B6V;13366;;
47701;84107;15;f;Leo;Leo;5,64;;;145,88863057;+29,97472479;20,48;-16,87;-103,45;0,111;0,11;;;1;;;A2IV;8551;;
47717;84461;;O;Vel;Vel;5,56;;;145,92625551;-53,89136176;9,19;-67,58;32,72;-0,042;-,02;;C;1;;;A0V;10023;;
47723;84194;16;psi;Leo;Leo;5,36;1;;145,93292295;+14,02170696;4,57;5,18;-6,13;1,610;1,94;;U;1;;;M2III;;;
47758;84367;;the;Ant;Ant;4,78;;;146,05054261;-27,76956287;8,49;-53,06;37,76;0,516;0,61;;D;2;C;AS;A7V+...;;;
47779;84252;;;;Leo;6,49;;;146,12501707;+18,86362650;7,02;-0,18;-55,15;1,158;1,12;;C;1;;;K0;;;
47791;83962;;;;UMa;6,18;;;146,15260374;+64,98406585;9,29;-54,96;19,22;0,419;0,49;;;1;;;F3Vn;6678;;
47854;84810;;l;Car;Car;3,69;3;lCar;146,31178147;-62,50792328;2,16;-12,88;8,28;1,010;1,03;35,56;P;1;;;G5Iab/Ib;4973;;
47868;84567;;;;Ant;6,45;;;146,34172832;-30,20276206;0,39;-11,49;4,78;-0,137;-,13;;;1;;;B0IV;;;
47884;83550;;;;Dra;6,25;;;146,37899948;+78,13471252;3,22;8,96;-1,58;1,353;1,32;;C;1;;;K2III;;;
47893;84809;;;;Car;6,47;2;V487Car;146,41932908;-57,18606020;3,75;-18,69;7,75;-0,108;-,09;4,36;P;2;C;AB;B8III/IV;;;
47908;84441;17;eps;Leo;Leo;2,97;;;146,46292670;+23,77427792;13,01;-46,09;-9,57;0,808;0,81;;;1;;;G0II;5365;Algenubi;Альгенуби
47913;84850;;;;Car;6,22;;;146,48259392;-58,79400021;12,36;-102,23;70,89;0,461;0,53;;;1;;;F5IV;6516;;
47943;84542;;;;Leo;5,80;1;;146,54183697;+06,70861426;3,13;5,68;-24,03;1,639;1,88;;U;1;;;M1III;;;
47956;85396;;nu,;Cha;Cha;5,43;;;146,58507788;-76,77598144;17,05;83,51;-56,95;0,901;0,94;;;1;;;G8III;5064;;
47959;84561;18;;Leo;Leo;5,67;;;146,59723787;+11,81000106;4,65;-15,45;17,28;1,489;1,48;;;1;;;K4III;4225;;
47960;84607;;;;Sex;5,65;;;146,59851244;+01,78568624;11,92;-54,69;-41,20;0,342;0,40;;C;1;;;F4IV;6919;;
47963;84816;;;;Vel;5,58;;;146,62658773;-44,75505925;2,27;-13,12;-0,43;-0,176;-,20;;C;1;;;B2.5IV;;;
47965;84335;44;;Lyn;UMa;5,09;2;CSUMa;146,63193397;+57,12798971;5,86;0,12;33,12;1,594;2,33;;U;1;;;M3III;;;
48002;85123;;ups;Car;Car;2,92;;;146,77557340;-65,07201888;2,01;-11,55;4,97;0,273;0,42;;D;2;C;AB;A9;;;
48017;83727;;;;Dra;6,09;;;146,82556901;+79,13673019;7,83;-29,88;-20,44;0,303;0,35;;D;2;C;AB;F0V:;7067;;
48023;84680;;;;Leo;6,49;;;146,84251980;+23,64769203;5,07;-16,06;-2,37;1,093;1,05;;C;1;;;K0;;;
48029;84722;19;;Leo;Leo;6,44;;;146,85831194;+11,56817726;11,14;-49,90;-4,83;0,255;0,29;;D;1;;;A7Vn;7447;;
48113;84737;15;;LMi;UMa;5,08;;;147,14660351;+46,02123319;54,26;222,07;-92,62;0,619;0,68;;;1;;;G2V;5895;;
48119;85250;;;;Vel;6,05;;;147,16691281;-56,41192613;9,82;-58,39;14,77;0,937;0,93;;;1;;;K0III;5084;;
48191;85206;;;;Ant;5,95;1;;147,36728577;-37,18678490;8,01;-88,86;8,06;1,245;1,31;;M;1;;;K2III;;;
48218;85040;20;;Leo;Leo;6,10;1;DGLeo;147,45884141;+21,17945754;6,34;-43,98;-14,42;0,257;0,26;;U;2;C;AB;A8IV;7418;;
48219;85296;;;;Ant;6,36;;;147,46400531;-36,26847322;5,87;-18,07;4,29;1,008;0,95;;;1;;;K0III;;;
48224;85355;;u;Vel;Vel;5,09;;;147,48817288;-45,73276023;3,81;-24,87;10,07;-0,098;-,08;;;1;;;B7III;;;
48266;84812;;;;UMa;6,27;;;147,59861150;+65,59329556;10,65;-58,50;-28,38;0,290;0,33;;;1;;;A9Vn;7204;;
48273;85217;4;;Sex;Sex;6,24;;;147,62570398;+04,34377417;21,78;-150,10;-50,91;0,479;0,55;;;1;;;F6V...;6473;;
48287;85483;;;;Vel;5,72;;;147,67487458;-46,93400208;5,46;-38,82;32,70;1,085;0,99;;C;1;;;K0IIICN...;;;
48310;85656;;;;Car;5,56;;;147,73165865;-62,74513696;3,40;-12,16;8,46;1,316;1,26;;C;1;;;K1IIICN...;;;
48319;84999;29;ups;UMa;UMa;3,78;1;upsUMa;147,74871542;+59,03910437;28,35;-294,45;-151,75;0,291;0,39;0,16;P;1;;;F0IV;7019;;
48320;86320;;;;Cha;6,47;;;147,75333462;-80,06109591;4,64;-3,19;15,33;0,074;0,12;;D;2;C;AB;B8IV;;;
48324;85268;23;;Leo;Leo;6,45;;;147,75821994;+13,06625701;1,76;19,73;-7,42;1,624;1,71;;;1;;;M0III;;;
48339;85655;;;;Car;5,79;;;147,80013966;-59,42567316;4,37;28,40;-41,59;1,354;1,35;;C;1;G;;K2IIICNp...;4254;;
48341;85364;6;;Sex;Sex;6,01;;;147,80843348;-04,24328092;16,31;13,76;-28,25;0,171;0,19;;;1;;;A8III;;;
48348;85563;;;;Vel;5,62;;;147,83234215;-46,19395369;9,74;-49,65;33,82;1,166;1,12;;C;1;O;;K2III;;;
48351;85380;;;;Sex;6,42;;;147,84037715;-06,18205868;22,45;-126,85;53,73;0,577;0,70;;C;1;;;F8V;6096;;
48356;85444;39;ups01;Hya;Hya;4,11;;;147,86951033;-14,84654997;11,92;18,68;-21,88;0,918;0,92;;;1;;;G6/G8III;5058;Zhang;Чжанг
48374;85622;;m;Vel;Vel;4,58;1;;147,91953494;-46,54764424;3,01;-24,41;9,80;1,172;1,10;;M;1;;;G5Ib;;;
48375;85461;;;;Sex;6,48;2;;147,92165514;-11,34040999;3,15;31,70;-39,82;1,610;2,09;;U;1;;;M2III:;;;
48390;85376;22;g;Leo;Leo;5,29;;;147,97093576;+24,39579370;24,90;20,98;-174,56;0,229;0,27;;;1;G;;A5IV;7516;;
48396;85519;;;;Hya;6,08;;;147,99802681;-16,53461116;8,26;13,18;-67,52;1,035;0,99;;C;1;;;K0III;4779;;
48402;85235;30;phi;UMa;UMa;4,55;;;148,02650069;+54,06428574;7,47;-4,21;19,18;0,038;0,09;;D;2;C;AB;A3IV;9895;;
48413;85505;;;;Sex;6,34;;;148,04999861;+00,07567169;7,62;-25,93;-25,40;0,934;0,93;;R;1;G;;G9III;4988;;
48414;85504;7;;Sex;Sex;6,02;;;148,05112987;+02,45389890;3,11;-185,01;95,35;-0,040;-,02;;C;1;;;A0Vs;10111;;
48437;85558;8;gam;Sex;Sex;5,07;;;148,12696211;-08,10491559;12,47;-61,83;-47,21;0,038;0,05;;D;2;C;AB;A2V;9183;;
48455;85503;24;mu,;Leo;Leo;3,88;;;148,19149028;+26,00708498;24,52;-216,29;-54,92;1,222;1,13;;C;1;;;K0III;4492;Rasalas;Расаляс
48468;85725;;;;Ant;6,28;;;148,24254341;-27,33240371;17,51;-278,14;95,43;0,622;0,74;;C;1;;;G1V;5985;;
48469;85871;;;;Vel;6,50;1;QZVel;148,25043836;-55,37321732;0,46;-12,65;3,72;-0,145;-,14;1,03;P;1;;;B1V;;;
48519;85709;;;;Sex;5,90;2;;148,42886212;+05,95856912;2,33;-2,92;1,72;1,662;2,09;;U;1;;;M2III;;;
48527;85953;;;;Vel;5,95;1;V335Vel;148,45879641;-51,14671460;1,91;-13,68;0,55;-0,152;-,15;3,76;P;1;;;B2V;;;
48559;85859;;;;Hya;4,87;;;148,55182725;-25,93248205;9,71;-183,95;56,56;1,199;1,19;;C;1;;;K2III;4385;;
48561;85980;;;;Vel;5,72;;;148,57361875;-45,28352716;3,86;-17,20;4,42;-0,114;-,12;;D;2;C;AB;B+...;;;
48584;85905;;;;Hya;6,23;;;148,63262827;-22,48745326;7,13;-26,01;-1,32;0,052;0,06;;C;1;;;A2/A3III;;;
48613;86087;;;;Vel;5,71;;;148,71360230;-50,24397661;10,22;-37,02;7,29;0,006;0,03;;C;1;;;A0V;;;
48615;85951;;;;Hya;4,94;1;;148,71765461;-19,00926985;4,62;-46,09;-37,04;1,559;1,75;;U;1;;;K5III;;Felis;Фелис
48638;85583;;;;UMa;6,29;;;148,76395029;+61,11613097;8,39;7,79;-3,24;1,036;1,01;;;1;;;K0;4868;;
48682;85795;31;;UMa;UMa;5,27;;SYUMa;148,92919035;+49,81979501;14,65;-3,45;19,66;0,086;0,10;;;1;;;A3III;;;
48706;86211;;;;Vel;6,39;1;;149,02229845;-40,82450401;3,88;-23,24;-17,15;1,612;1,96;;U;1;;;M1III;;;
48715;86606;;;;Car;6,30;;;149,04066795;-71,38930933;1,59;-15,36;3,78;-0,056;0,02;;;1;;;B1Ib;;;
48730;86352;;;;Vel;6,39;;;149,09125711;-51,33615432;0,70;-7,61;-1,66;-0,162;-,17;;;1;;;B2IV-V;;;
48734;86080;;;;Leo;5,85;;;149,10844321;+08,93310774;4,84;-84,71;20,41;1,129;1,10;;C;1;;;K2III:;4650;;
48748;86267;;;;Ant;5,83;;;149,14779191;-33,41854978;6,80;34,33;22,02;1,202;1,18;;C;1;;;K1III;;;
48763;86266;;;;Hya;6,27;;;149,19538618;-26,54974395;14,39;-77,40;29,70;0,219;0,24;;D;1;;;A4V;7798;;
48774;86440;;phi;Vel;Vel;3,52;1;;149,21564520;-54,56779730;1,69;-13,13;2,83;-0,067;-,04;;M;1;;;B5Ib;13980;;
48776;86301;;;;Ant;6,32;;;149,22558279;-27,47521203;6,49;-73,03;23,82;0,173;0,19;;;1;;;A4V;7745;;
48782;86659;;;;Car;6,18;1;V492Car;149,24932341;-69,10182530;3,00;-17,86;8,81;-0,100;-,08;1,06;P;1;;;B3V;;;
48799;86466;;;;Vel;6,13;;IVVel;149,29562255;-52,63879276;0,95;-8,83;4,11;-0,115;-,10;;C;1;;;B3IV;;;
48802;85945;;;;UMa;5,97;1;;149,30654965;+57,41835080;6,99;35,74;-63,78;0,895;0,90;;U;1;;;G8III;5160;;
48833;86146;19;;LMi;LMi;5,11;;;149,42143543;+41,05569741;34,61;-116,94;-26,26;0,481;0,55;;C;1;;;F6Vs;6420;;
48835;86523;;;;Vel;6,06;;;149,42752387;-48,41407030;0,86;-9,34;-1,84;-0,127;-,12;;D;1;;;B3V;;;
48839;86341;;;;Sex;6,43;;;149,43290850;-01,94177088;11,81;8,89;8,50;0,700;0,99;;D;2;C;AB;G5;4860;;
48861;86166;;;;UMa;6,34;;;149,48683606;+45,41438050;7,80;6,43;-34,11;1,096;1,06;;C;1;;;K0III;4630;;
48876;86369;;;;Leo;6,05;;;149,53175281;+08,31404459;6,05;17,59;-27,03;1,357;1,39;;;1;;;K3III;;;
48883;86360;27;nu,;Leo;Leo;5,26;;;149,55579541;+12,44483936;6,16;-25,28;-16,07;-0,035;-,01;;C;1;;;B9IV;10162;;
48893;85841;;;;UMa;5,86;;;149,59545794;+72,87959798;8,81;-69,92;-36,52;1,155;1,12;;;1;G;;K3III:;;;
48895;86358;;;;Leo;6,48;2;;149,60881468;+27,75906843;14,98;-116,60;-28,35;0,362;0,42;;U;1;;;F3V;6893;;
48926;86629;;eta;Ant;Ant;5,23;;;149,71808346;-35,89093311;30,67;-89,59;-16,27;0,300;0,34;;;1;;;A8IV;;;
48943;86612;;;;Hya;6,11;2;OYHya;149,77633000;-23,95078326;5,19;-23,22;5,30;-0,101;0,05;;U;2;C;AB;B5V;17338;;
48982;86513;;;;Leo;5,75;;;149,90115690;+29,64532453;10,05;-94,44;-37,84;1,059;0,97;;;1;;;G9III:;4737;;
49005;86378;;;;UMa;5,50;1;;149,96549960;+56,81187557;6,39;-31,49;-28,04;1,487;1,51;;M;1;;;K5III;4019;;
49029;86663;29;pi,;Leo;Leo;4,68;1;;150,05343468;+08,04427686;6,21;-30,06;-22,11;1,589;1,96;;U;1;;;M2III;5082;;
49052;87030;;;;Vel;6,50;1;;150,14409087;-56,94616519;6,38;-53,08;23,35;0,979;1,01;;U;2;C;AC;K0III;;;
49065;87971;;mu,;Cha;Cha;5,53;;;150,18293561;-82,21474569;8,17;-26,99;31,11;0,035;0,05;;C;1;;;A0IV;;;
49081;86728;20;;LMi;LMi;5,37;;;150,25425132;+31,92471460;67,14;-529,22;-428,93;0,676;0,74;;;1;;;G1V;5757;;
49092;87122;;;;Vel;6,42;;;150,30006153;-56,09656162;3,76;-27,45;1,00;-0,013;0,01;;D;2;C;AC;B8;;;
49137;87152;;;;Vel;6,20;1;;150,41968900;-53,36411581;2,26;-16,56;0,47;-0,137;-,13;;M;1;;;B2.5V;;;
49160;87238;;;;Car;6,20;;;150,49204300;-57,34984456;4,33;-38,39;22,82;1,108;1,06;;C;1;;;K1II;;;
49164;87283;;;;Car;5,93;;;150,50043754;-60,42089968;1,02;-7,42;3,90;0,263;0,39;;C;1;;;A9IV;7499;;
49220;87015;;;;Leo;5,68;1;EOLeo;150,70399581;+21,94927070;2,06;-13,75;-5,28;-0,178;-,18;2,78;P;1;;;B2.5IV;16435;;
49223;87438;;;;Car;6,41;1;;150,70592901;-62,15667622;1,18;-8,77;3,89;1,688;1,71;;M;1;;;K3Ib;;;
49233;87436;;;;Car;6,18;;;150,74979136;-60,17868581;1,01;-6,89;4,60;0,175;0,19;;C;1;;;A6II/III;;;
49259;87363;;;;Vel;6,11;;;150,83585305;-46,63616508;10,85;-28,39;-10,77;0,041;0,06;;;1;;;A0V;9247;;
49281;87543;;;;Car;6,14;;;150,89224818;-61,88405008;1,88;-17,73;4,23;-0,032;-,01;;D;2;C;AB;B4:Vne;13274;;
49293;87262;;;;Sex;6,09;1;;150,92079300;-09,57376953;2,59;-6,32;-9,17;1,671;1,65;;U;1;;;K0;;;
49321;87344;;;;Hya;6,30;;;151,01178567;-18,10141491;6,83;-27,28;3,65;-0,060;-,04;;D;1;C;;B8V;10824;;
49329;87301;13;;Sex;Sex;6,43;;;151,03531426;+03,20128263;18,20;-73,63;-93,76;0,398;0,55;;;1;;;F4V;6692;;
49339;87427;;;;Hya;5,70;;;151,08756962;-24,28559599;12,76;-117,30;25,29;0,303;0,35;;C;1;;;F0V;7133;;
49343;87477;;;;Ant;6,42;;;151,09746649;-39,97585933;5,12;-37,32;0,51;1,311;1,22;;;1;;;K1III;;;
49363;87141;;;;UMa;5,71;;;151,15143814;+53,89172560;21,15;-22,58;-3,84;0,507;0,58;;C;1;;;F5V;6371;;
49394;87652;;;;Vel;6,23;;;151,25776152;-51,31364777;6,13;-29,55;11,27;-0,054;-,03;;D;2;C;AB;B8/B9III;;;
49402;87504;40;ups02;Hya;Hya;4,60;;;151,28121856;-13,06467435;11,77;-37,48;19,90;-0,087;-,07;;;1;;;B8V;11143;Manhir;Минхир
49408;87243;;;;UMa;6,31;;;151,29331383;+52,37131399;9,88;-14,01;-4,92;0,135;0,15;;;1;;;A5IV;8337;;
49418;87606;;;;Ant;6,27;;;151,31368590;-36,38435183;7,73;-6,96;-12,19;1,112;1,01;;;1;;;K1III;4660;;
49445;87500;;;;Leo;6,36;;;151,42068743;+15,75752363;8,77;-77,31;-7,20;0,387;0,45;;;1;G;;F2Vn;7017;;
49477;87816;;;;Vel;6,50;;RVel;151,53026467;-52,18797821;8,28;-55,35;16,15;0,997;0,98;;C;1;;;K0III;4987;;
49485;87783;;;;Vel;5,06;;;151,54675512;-47,36986491;12,63;-10,84;-53,46;0,880;0,89;;D;2;C;AB;K0IV;;;
49530;87682;14;;Sex;Sex;6,20;;;151,69768400;+05,61153274;9,44;-33,02;-16,29;0,939;0,86;;;1;;;K1III;4958;;
49569;87808;;;;Hya;5,59;;;151,78954048;-17,14159635;9,50;15,41;-56,22;1,490;1,51;;;1;;;K4III;;;
49583;87737;30;eta;Leo;Leo;3,48;1;;151,83313948;+16,76266572;1,53;-1,94;-0,53;-0,031;0,06;;M;1;;;A0Ib;9607;Aljabhah;Альджабхах
49593;87696;21;;LMi;LMi;4,49;;;151,85718812;+35,24469176;35,78;50,97;0,64;0,190;0,19;;C;1;;;A7V;7870;;
49619;88015;;;;Vel;6,40;;;151,89887481;-48,26083007;2,51;-15,94;3,94;-0,150;-,15;;;1;;;B3III;;;
49637;87837;31;A;Leo;Leo;4,39;;;151,97632850;+09,99766389;11,89;-81,10;-64,20;1,448;1,51;;;1;;;K4III;4040;;
49641;87887;15;alf;Sex;Sex;4,48;;;151,98456489;-00,37162786;11,35;-26,17;-3,65;-0,032;-,01;;C;1;G;;A0III;9865;;
49642;88158;;;;Car;6,45;1;V495Car;151,98598839;-62,22143545;3,99;-5,93;7,81;-0,095;-,08;3,84;P;1;;;ApSi;;;
49645;88013;;;;Ant;6,34;;;152,00695797;-37,33346184;5,53;-27,42;7,03;0,980;0,96;;C;1;;;K0III;;;
49658;87822;;;;LMi;6,23;;;152,06642598;+31,60427591;15,80;-79,91;-91,81;0,469;0,54;;;1;;;F4V;6593;;
49669;87901;32;alf;Leo;Leo;1,36;;;152,09358075;+11,96719513;42,09;-249,40;4,91;-0,087;-,10;;;1;;;B7V;12037;Regulus;Регул
49688;86321;;;;Cam;6,31;1;;152,14332324;+83,91835727;3,69;-1,21;6,27;1,549;1,61;;U;1;;;K0;;;
49689;88025;;;;Hya;6,25;;;152,14769563;-15,61194678;5,64;-37,47;3,13;-0,007;0,01;;C;1;;;A0V;9931;;
49698;88323;;;;Car;5,26;;;152,17849096;-65,81553262;9,55;-62,86;38,98;0,973;0,95;;;1;G;;K0III;5048;;
49712;88206;;Q;Vel;Vel;4,85;;;152,23439032;-51,81126187;3,01;-14,60;0,51;-0,120;-,10;;;1;;;B3IV;;;
49764;88473;;;;Car;5,80;;;152,37583168;-68,68283264;5,59;-19,74;22,09;0,015;0,03;;D;2;C;AB;A0IV;;;
49769;88218;;;;Ant;6,14;;;152,38369551;-35,85681022;32,55;-442,84;16,26;0,615;0,69;;C;1;;;G1V;5761;;
49802;88182;;;;Hya;6,24;;;152,48536641;-12,09526147;12,57;-1,70;-17,76;0,184;0,17;;C;1;;;A5m;;;
